target,fingerprint,model,resampling,optimized_for,best_params,val_selection,val_n,val_accuracy,val_f1_weighted,val_f1_macro,val_roc_auc,val_pr_auc,final_train_accuracy,final_train_f1_weighted,final_train_f1_macro,final_train_roc_auc,final_train_pr_auc,final_train_n,final_test_accuracy,final_test_f1_weighted,final_test_f1_macro,final_test_roc_auc,final_test_pr_auc,final_test_n,training_time,refit_time,run_date
SR-MMP,avalon,XGBoost,none,f1_weighted,"{'colsample_bytree': 0.8, 'learning_rate': 0.05, 'max_depth': 3, 'min_child_weight': 1, 'n_estimators': 100, 'scale_pos_weight': 8, 'subsample': 0.8}",0.5567471036323972,1553,0.9504185447520928,0.9406659061241608,0.7477965601240126,0.8249393462809212,0.5567471036323972,0.7431066176470589,0.7718628247787459,0.6927403781181996,0.9214687251730791,0.7447942769486279,4352.0,0.7676508344030809,0.8045182234229183,0.663072750516745,0.8940336749633967,0.5594540018535997,779.0,0.37548017501831055,0.35553407669067383,2026-04-30T05:19:40.931895+00:00
SR-MMP,avalon,DecisionTree,random_over,f1_weighted,"{'ccp_alpha': 0.01, 'criterion': 'gini', 'max_depth': 5, 'min_samples_leaf': 10}",0.3557177522265342,1553,0.9471989697359948,0.9402339231676996,0.7556601891078775,0.7195786547675652,0.3557177522265342,0.652247191011236,0.6377998532060812,0.6377998532060812,0.7182332959853555,0.673820665313551,7120.0,0.5532734274711169,0.6252129953379335,0.4907272426697124,0.7346190214738897,0.2599465458016799,779.0,0.1207506656646728,0.1206030845642089,2026-04-22T11:13:01.088064+00:00
SR-MMP,avalon,BernoulliNB,random_under,f1_weighted,{'alpha': 50.0},0.5383117015223143,1553,0.9471989697359948,0.9331026487769072,0.7053267308404294,0.8026894895334236,0.5383117015223143,0.7424242424242424,0.7454021218822607,0.7173249727066595,0.8000833779716356,0.6562066116968358,2376.0,0.7676508344030809,0.8030771850799849,0.6512869088220091,0.8321284773060028,0.3720393236836358,779.0,0.0241830348968505,0.0134510993957519,2026-04-21T14:36:01.183475+00:00
SR-MMP,avalon,LogisticRegression,smote,f1_weighted,"{'C': 0.01, 'l1_ratio': 1.0}",0.3039666614897359,1553,0.9220862846104314,0.912074281544547,0.6413415455793012,0.7038787900954611,0.3039666614897359,0.7528089887640449,0.7527877466431081,0.7527877466431081,0.849328919959601,0.8445823778370641,7120.0,0.7971758664955071,0.821048991562079,0.6501523523660095,0.7980417276720351,0.4225871241402504,779.0,0.1027958393096923,0.0821180343627929,2026-04-21T09:03:33.473788+00:00
SR-MMP,avalon,LogisticRegression,smoteenn,f1_weighted,"{'C': 0.01, 'l1_ratio': 1.0}",0.300417582618398,1553,0.922730199613651,0.9114516149992302,0.6347085665898292,0.6983711885690599,0.300417582618398,0.7660931474339958,0.7661283477561036,0.765428046611013,0.8597270725781962,0.8421809727315819,6742.0,0.8048780487804879,0.8267968156946406,0.6575031817655906,0.7951058443142998,0.4237065538285656,779.0,0.0874147415161132,0.0675110816955566,2026-04-21T09:03:33.800403+00:00
SR-MMP,avalon,LogisticRegression,smoten,f1_weighted,"{'C': 0.1, 'l1_ratio': 1.0}",0.3682541347188522,1553,0.9291693496458469,0.9166887928337922,0.6499672158019834,0.7137662606829792,0.3682541347188522,0.9009831460674156,0.9009564013417256,0.9009564013417256,0.9579409165509404,0.95144384207989,7120.0,0.8575096277278562,0.8682303777582191,0.7218796738553577,0.8557375549048316,0.5513139167085983,779.0,0.2936060428619385,0.3108420372009277,2026-04-21T09:03:36.426857+00:00
SR-MMP,avalon,LogisticRegression,smoten_enn,f1_weighted,"{'C': 0.001, 'l1_ratio': 0.0}",0.2872058933209208,1553,0.9343206696716032,0.9174576579377076,0.6381640260950606,0.6181619789571218,0.2872058933209208,0.8362598770851625,0.8363181014899876,0.8362368713447192,0.9145440240780268,0.90627797394986,6834.0,0.8292682926829268,0.8454808232685918,0.6841798833739259,0.8286664226451927,0.5002154803370477,779.0,0.0974500179290771,0.1021921634674072,2026-04-21T09:03:36.585899+00:00
SR-MMP,erg,DecisionTree,none,f1_weighted,"{'ccp_alpha': 0.0, 'criterion': 'entropy', 'max_depth': 5, 'min_samples_leaf': 20}",0.4098325980913109,1553,0.951706374758532,0.9413678362505342,0.7484303218407189,0.6944180290894018,0.4098325980913109,0.7467830882352942,0.7731398422200738,0.6810243181924598,0.831856663545568,0.5022886322126994,4352.0,0.7740693196405648,0.8066380403862916,0.647322714738445,0.7348172889214252,0.3542082964329616,779.0,0.0499160289764404,0.0443208217620849,2026-04-22T11:13:38.964149+00:00
SR-MMP,erg,LogisticRegression,random_over,f1_weighted,"{'C': 0.001, 'l1_ratio': 0.0}",0.5018124966966462,1553,0.9459111397295557,0.939501193881974,0.75486688414185,0.8081879472830791,0.5018124966966462,0.6728932584269663,0.6728325353752159,0.6728325353752159,0.7470160806716324,0.7234487967095026,7120.0,0.7150192554557124,0.7631287460251371,0.619045730901401,0.8411496461688629,0.3721096272279399,779.0,0.0357351303100585,0.0245418548583984,2026-04-21T09:03:37.761823+00:00
SR-MMP,erg,LogisticRegression,random_under,f1_weighted,"{'C': 0.01, 'l1_ratio': 0.0}",0.4675818818359406,1553,0.9426915647134578,0.9345315719996744,0.7305317541550909,0.7846762493446959,0.4675818818359406,0.7028619528619529,0.7064365459102302,0.6742652084757348,0.761230120013264,0.5922583290664533,2376.0,0.7650834403080873,0.8014884688236263,0.6520496454766234,0.8384959126403124,0.3928844860059854,779.0,0.0138728618621826,0.0086472034454345,2026-04-21T09:03:38.701488+00:00
SR-MMP,erg,DecisionTree,smote,f1_weighted,"{'ccp_alpha': 0.01, 'criterion': 'gini', 'max_depth': 5, 'min_samples_leaf': 10}",0.4294595140042566,1553,0.948486799742434,0.9398140167077252,0.7482900580245713,0.7116510003291759,0.4294595140042566,0.748314606741573,0.7466216122289769,0.7466216122289769,0.79362473961621,0.749121585827054,7120.0,0.7509627727856226,0.7908876576840259,0.6425591296121098,0.802472242557345,0.2893179916362393,779.0,0.0962870121002197,0.0985169410705566,2026-04-22T11:13:48.792530+00:00
