target,fingerprint,model,resampling,optimized_for,best_params,val_selection,val_n,val_accuracy,val_f1_weighted,val_f1_macro,val_roc_auc,val_pr_auc,final_train_accuracy,final_train_f1_weighted,final_train_f1_macro,final_train_roc_auc,final_train_pr_auc,final_train_n,final_test_accuracy,final_test_f1_weighted,final_test_f1_macro,final_test_roc_auc,final_test_pr_auc,final_test_n,training_time,refit_time,run_date
SR-MMP,erg,DecisionTree,smoten_enn,pr_auc,"{'ccp_alpha': 0.0, 'criterion': 'gini', 'max_depth': 5, 'min_samples_leaf': 20}",0.3040677389046005,1553,0.9446233097231166,0.9292569948401294,0.6868716707930078,0.5944399741535911,0.3040677389046005,0.8166170142336975,0.8161209019400776,0.8095988403239529,0.8827375078090341,0.8021960558171184,6042.0,0.8498074454428755,0.8555104049730249,0.6793189710678812,0.6839083089311859,0.2939830311141205,779.0,0.0604729652404785,0.0506939888000488,2026-04-22T11:13:45.841082+00:00
SR-MMP,estate,RUSBoost,none,pr_auc,"{'learning_rate': 0.03, 'n_estimators': 50, 'sampling_strategy': 'auto'}",0.5628396743249935,1553,0.9433354797166774,0.9328953253602869,0.7167515047006351,0.8515904075686088,0.5628396743249935,0.7927389705882353,0.8089032432052174,0.7116364897186815,0.8394923604017706,0.5853285298965886,4352.0,0.8061617458279846,0.8323558946747545,0.6859181292170983,0.8525347730600292,0.5009277628933423,779.0,0.1702139377593994,0.1833148002624511,2026-04-29T19:18:24.922688+00:00
SR-MMP,estate,XGBoost,random_over,pr_auc,"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 7, 'min_child_weight': 1, 'n_estimators': 100, 'scale_pos_weight': 1, 'subsample': 0.8}",0.5412250618134066,1553,0.9401159047005795,0.928837133590797,0.6989237225067697,0.8610877436816502,0.5412250618134066,0.9389044943820225,0.9389008485171294,0.9389008485171294,0.9852552550183058,0.984433385491067,7120.0,0.8818998716302953,0.8892762256843733,0.7619256424566159,0.8989903611517813,0.5369045740209717,779.0,0.1474475860595703,0.13728094100952148,2026-04-30T05:22:18.705024+00:00
SR-MMP,estate,XGBoost,random_under,pr_auc,"{'colsample_bytree': 0.8, 'learning_rate': 0.05, 'max_depth': 7, 'min_child_weight': 1, 'n_estimators': 100, 'scale_pos_weight': 1, 'subsample': 0.8}",0.5563685198275721,1553,0.9459111397295557,0.9380161304994612,0.7442959966128805,0.8709935018226596,0.5563685198275721,0.9031986531986532,0.9011263249967872,0.8867290974890871,0.9661358694265891,0.9426740684042115,2376.0,0.8806161745827985,0.8859795470509345,0.7490969540598105,0.9049841386041971,0.537938474261662,779.0,0.07679915428161621,0.06847071647644043,2026-04-30T05:22:19.966183+00:00
SR-MMP,estate,RandomForest,smote,pr_auc,"{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 20, 'n_estimators': 100}",0.5535312182507719,1553,0.9407598197037992,0.9216402245757196,0.6462764903941375,0.814990917181766,0.5535312182507719,0.8882022471910113,0.8881755563579394,0.8881755563579395,0.9541964003913648,0.9569275341341722,7120.0,0.8741976893453145,0.8800617977157887,0.7366354804879395,0.8756863103953149,0.5317666807568351,779.0,0.2010152339935302,0.176462173461914,2026-04-21T19:55:04.757242+00:00
SR-MMP,estate,RandomForest,smoteenn,pr_auc,"{'max_depth': 15, 'max_features': 'sqrt', 'min_samples_leaf': 5, 'n_estimators': 200}",0.5388377396844859,1553,0.9401159047005796,0.9204264244569508,0.6399042596955757,0.8420443046462578,0.5388377396844859,0.9496100779844032,0.949603736954676,0.9493648915016202,0.989394440588261,0.988642817452831,6668.0,0.8985879332477535,0.8959114101990238,0.7530824075077136,0.8875213518789654,0.5199333020844762,779.0,0.423030138015747,0.3803458213806152,2026-04-21T19:55:07.965623+00:00
SR-MMP,estate,XGBoost,smoten,pr_auc,"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 3, 'min_child_weight': 1, 'n_estimators': 100, 'scale_pos_weight': 1, 'subsample': 0.8}",0.3826676977858817,1553,0.9117836445589182,0.9089061326362334,0.6547259127990666,0.7726796142545385,0.3826676977858817,0.8605337078651686,0.8605276303799929,0.8605276303799929,0.9339535727812144,0.9315747207517393,7120.0,0.8395378690629012,0.8502672954779092,0.6800463953262952,0.8248459614446071,0.41849580917776746,779.0,0.09475994110107422,0.07939410209655762,2026-04-30T05:22:25.876490+00:00
SR-MMP,estate,XGBoost,smoten_enn,pr_auc,"{'colsample_bytree': 0.8, 'learning_rate': 0.05, 'max_depth': 3, 'min_child_weight': 1, 'n_estimators': 200, 'scale_pos_weight': 1, 'subsample': 0.8}",0.26337584513541173,1553,0.9175788795878944,0.9098738050253636,0.6412100209371165,0.6131755727052168,0.26337584513541173,0.8878839856541401,0.8878376132042669,0.8864121644190379,0.9586966410283676,0.9443494180870682,6413.0,0.8549422336328626,0.8539499199041924,0.6597872003277409,0.7351680697901416,0.3347271777482048,779.0,0.15713810920715332,0.1417679786682129,2026-04-30T05:22:26.105216+00:00
SR-MMP,fcfp,BernoulliNB,none,pr_auc,{'alpha': 50.0},0.5642703384526907,1553,0.9265936896329684,0.8912889835440118,0.4809491978609626,0.8397004498738159,0.5642703384526907,0.8180147058823529,0.7361305239992862,0.4499494438827098,0.6860814961411872,0.2982045689122651,4352.0,0.8767650834403081,0.8191936415728187,0.4671682626538987,0.776949121522694,0.2875860065706844,779.0,0.0388662815093994,0.0127568244934082,2026-04-21T14:36:28.858880+00:00
SR-MMP,fcfp,RandomForest,random_over,pr_auc,"{'max_depth': 15, 'max_features': 'sqrt', 'min_samples_leaf': 20, 'n_estimators': 100}",0.4644880092147681,1553,0.93947198969736,0.9191992220193604,0.6334394648560695,0.8226899772015166,0.4644880092147681,0.7981741573033708,0.7975059690222986,0.7975059690222988,0.8825194498800656,0.8813179054397116,7120.0,0.8254172015404364,0.8433158422912729,0.6841264162194395,0.8551732552464617,0.4537468194715546,779.0,1.3758330345153809,1.3581790924072266,2026-04-21T19:55:22.612241+00:00
