target,fingerprint,model,resampling,optimized_for,best_params,val_selection,val_n,val_accuracy,val_f1_weighted,val_f1_macro,val_roc_auc,val_pr_auc,final_train_accuracy,final_train_f1_weighted,final_train_f1_macro,final_train_roc_auc,final_train_pr_auc,final_train_n,final_test_accuracy,final_test_f1_weighted,final_test_f1_macro,final_test_roc_auc,final_test_pr_auc,final_test_n,training_time,refit_time,run_date
NR-PPAR-gamma,pubchem,LogisticRegression,smoten,accuracy,"{'C': 0.001, 'l1_ratio': 1.0}",0.0214541120381406,1678,0.9785458879618594,0.9679351494176948,0.494578313253012,0.5,0.0214541120381406,0.5,0.3333333333333333,0.3333333333333333,0.5,0.5,9548.0,0.9471264367816092,0.9214075370815183,0.48642266824085,0.5,0.0528735632183908,870.0,0.0882208347320556,0.0825119018554687,2026-04-21T08:50:18.114278+00:00
NR-PPAR-gamma,pubchem,LogisticRegression,smoten_enn,accuracy,"{'C': 0.001, 'l1_ratio': 1.0}",0.0214541120381406,1678,0.9785458879618594,0.9679351494176948,0.494578313253012,0.5,0.0214541120381406,0.5051317320918421,0.3390508104051254,0.3356063268892794,0.5,0.4948682679081578,9451.0,0.9471264367816092,0.9214075370815183,0.48642266824085,0.5,0.0528735632183908,870.0,0.1310911178588867,0.075261116027832,2026-04-21T08:50:23.314889+00:00
NR-PPAR-gamma,rdkit,XGBoost,none,accuracy,"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 3, 'min_child_weight': 1, 'n_estimators': 200, 'scale_pos_weight': 8, 'subsample': 0.8}",0.13220352936773347,1678,0.9791418355184743,0.9693864657229774,0.5217543545353127,0.7374983082961158,0.13220352936773347,0.9945043761449216,0.9946057948089139,0.9518716577540107,0.9994778370851705,0.9835527546896006,4913.0,0.9413793103448276,0.9255607850799894,0.5526270682301697,0.5067802870409455,0.12076835591913862,870.0,2.7003941535949707,2.6875059604644775,2026-04-30T02:48:52.528190+00:00
NR-PPAR-gamma,rdkit,LogisticRegression,random_over,accuracy,"{'C': 0.001, 'l1_ratio': 1.0}",0.0214541120381406,1678,0.9785458879618594,0.9679351494176948,0.494578313253012,0.5,0.0214541120381406,0.5,0.3333333333333333,0.3333333333333333,0.5,0.5,9548.0,0.9471264367816092,0.9214075370815183,0.48642266824085,0.5,0.0528735632183908,870.0,0.2893800735473633,0.2829420566558838,2026-04-21T08:50:31.393110+00:00
NR-PPAR-gamma,rdkit,XGBoost,random_under,accuracy,"{'colsample_bytree': 0.8, 'learning_rate': 0.05, 'max_depth': 5, 'min_child_weight': 5, 'n_estimators': 100, 'scale_pos_weight': 1, 'subsample': 0.8}",0.10229432921290932,1678,0.9791418355184743,0.9704209837887504,0.5460061996088527,0.7323132358911896,0.10229432921290932,0.9616306954436451,0.9610845295055822,0.9556618819776714,0.9871901040318825,0.9834170162062473,417.0,0.8517241379310345,0.8793739877589682,0.5484265544338534,0.6568436048965809,0.135284611006161,870.0,0.23772287368774414,0.2148730754852295,2026-04-30T02:49:44.862202+00:00
NR-PPAR-gamma,rdkit,LogisticRegression,smote,accuracy,"{'C': 0.001, 'l1_ratio': 1.0}",0.0214541120381406,1678,0.9785458879618594,0.9679351494176948,0.494578313253012,0.5,0.0214541120381406,0.5,0.3333333333333333,0.3333333333333333,0.5,0.5,9548.0,0.9471264367816092,0.9214075370815183,0.48642266824085,0.5,0.0528735632183908,870.0,0.324502944946289,0.2397079467773437,2026-04-21T08:50:33.514076+00:00
NR-PPAR-gamma,rdkit,LogisticRegression,smoteenn,accuracy,"{'C': 0.001, 'l1_ratio': 1.0}",0.0214541120381406,1678,0.9785458879618594,0.9679351494176948,0.494578313253012,0.5,0.0214541120381406,0.5031088628938771,0.3367933410159671,0.3347121923858935,0.5,0.4968911371061228,9489.0,0.9471264367816092,0.9214075370815183,0.48642266824085,0.5,0.0528735632183908,870.0,0.2627770900726318,0.2054567337036132,2026-04-21T08:50:34.175268+00:00
NR-PPAR-gamma,rdkit,LogisticRegression,smoten,accuracy,"{'C': 0.001, 'l1_ratio': 1.0}",0.0214541120381406,1678,0.9785458879618594,0.9679351494176948,0.494578313253012,0.5,0.0214541120381406,0.5,0.3333333333333333,0.3333333333333333,0.5,0.5,9548.0,0.9471264367816092,0.9214075370815183,0.48642266824085,0.5,0.0528735632183908,870.0,0.3057420253753662,0.2372791767120361,2026-04-21T08:50:39.328946+00:00
NR-PPAR-gamma,rdkit,LogisticRegression,smoten_enn,accuracy,"{'C': 0.001, 'l1_ratio': 1.0}",0.0214541120381406,1678,0.9785458879618594,0.9679351494176948,0.494578313253012,0.5,0.0214541120381406,0.5050248598328573,0.3389314234683434,0.3355591480986856,0.5,0.4949751401671427,9453.0,0.9471264367816092,0.9214075370815183,0.48642266824085,0.5,0.0528735632183908,870.0,0.2632310390472412,0.2077810764312744,2026-04-21T08:50:39.821668+00:00
NR-PPAR-gamma,topological_torsion,XGBoost,none,accuracy,"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 5, 'min_child_weight': 1, 'n_estimators': 100, 'scale_pos_weight': 8, 'subsample': 0.8}",0.3920169290101838,1678,0.9833134684147795,0.9786632457152914,0.6914225666622882,0.79659798348897,0.3920169290101838,0.9916547934052514,0.9916980293193577,0.9248985420251329,0.9977794890187556,0.9253349241778065,4913.0,0.9425287356321839,0.9277504105090312,0.5684523809523809,0.6203039257070494,0.12693099996574392,870.0,1.4990198612213135,1.418736219406128,2026-04-30T02:53:13.587279+00:00
NR-PPAR-gamma,topological_torsion,XGBoost,random_over,accuracy,"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 5, 'min_child_weight': 5, 'n_estimators': 200, 'scale_pos_weight': 1, 'subsample': 0.8}",0.42460440835436847,1678,0.9839094159713945,0.9796907887344817,0.7086861750352038,0.7572912437406956,0.42460440835436847,0.9879555927943025,0.9879538452858029,0.987953845285803,0.9987531523303244,0.9983753765468288,9548.0,0.9149425287356322,0.9121296835904762,0.5473974297685666,0.5715755593077247,0.11717896679442885,870.0,4.2417120933532715,4.242411851882935,2026-04-30T02:53:31.536480+00:00
