target,fingerprint,model,resampling,optimized_for,best_params,val_selection,val_n,val_accuracy,val_f1_weighted,val_f1_macro,val_roc_auc,val_pr_auc,final_train_accuracy,final_train_f1_weighted,final_train_f1_macro,final_train_roc_auc,final_train_pr_auc,final_train_n,final_test_accuracy,final_test_f1_weighted,final_test_f1_macro,final_test_roc_auc,final_test_pr_auc,final_test_n,training_time,refit_time,run_date
NR-AR,atom_pair,BalancedRandomForest,none,accuracy,"{'max_depth': 5, 'max_features': 'sqrt', 'min_samples_leaf': 10, 'n_estimators': 100}",0.6062871525026643,1421,0.983814215341309,0.9806685337101376,0.7788955262249944,0.8716606780190593,0.6062871525026643,0.9366244162775184,0.9465599759871324,0.700477452465085,0.904669092169092,0.6548823552776815,5996.0,0.9510250569476082,0.960247637773478,0.5486292935451861,0.6453456933178833,0.1736307881763182,878.0,0.5983102321624756,0.5975329875946045,2026-04-21T21:46:48.739886+00:00
NR-AR,atom_pair,RandomForest,random_over,accuracy,"{'max_depth': 5, 'max_features': 'sqrt', 'min_samples_leaf': 10, 'n_estimators': 100}",0.5086572165206275,1421,0.983814215341309,0.9802311712809514,0.7703894169634891,0.8198328386189657,0.5086572165206275,0.8431219681219682,0.8400922326055461,0.8400922326055462,0.9519878656443106,0.9634162284631737,11544.0,0.969248291571754,0.9706193248446852,0.5830739196960903,0.666821166473542,0.0998864745557417,878.0,0.8212549686431885,1.0434749126434326,2026-04-21T16:05:07.905610+00:00
NR-AR,atom_pair,RandomForest,random_under,accuracy,"{'max_depth': 5, 'max_features': 'sqrt', 'min_samples_leaf': 20, 'n_estimators': 100}",0.6224422360780315,1421,0.984517945109078,0.9817064289504231,0.7923508156650194,0.8789056397437902,0.6224422360780315,0.8511904761904762,0.844937975190076,0.8199279711884755,0.8947903380102041,0.867348961178578,672.0,0.9259681093394078,0.9464428296661268,0.5229656872988674,0.6373117033603709,0.1349234917330775,878.0,0.2257893085479736,0.1570658683776855,2026-04-21T16:05:07.905306+00:00
NR-AR,atom_pair,RandomForest,smote,accuracy,"{'max_depth': 5, 'max_features': 'sqrt', 'min_samples_leaf': 5, 'n_estimators': 100}",0.3712931171011167,1421,0.9831104855735396,0.9791295931474062,0.755702005730659,0.5512127011404468,0.3712931171011167,0.8233714483714484,0.8183410915309624,0.8183410915309624,0.9630922802700348,0.9665765158145856,11544.0,0.9760820045558086,0.9737247486212164,0.5739341421143848,0.5946697566628042,0.0795643552859586,878.0,1.138922929763794,1.1009879112243652,2026-04-21T16:05:07.905197+00:00
NR-AR,atom_pair,RandomForest,smoteenn,accuracy,"{'max_depth': 5, 'max_features': 'sqrt', 'min_samples_leaf': 5, 'n_estimators': 100}",0.3728356669449187,1421,0.9831104855735396,0.9791295931474062,0.755702005730659,0.5484689892204343,0.3728356669449187,0.8238414050952091,0.8186384005282001,0.8185222379132565,0.9661228020453017,0.9688142473387712,11501.0,0.9760820045558086,0.9737247486212164,0.5739341421143848,0.6155272305909618,0.0934959773835421,878.0,1.15805983543396,1.0334608554840088,2026-04-21T16:05:24.392997+00:00
NR-AR,atom_pair,LogisticRegression,smoten,accuracy,"{'C': 0.001, 'l1_ratio': 1.0}",0.3789319524346747,1421,0.9831104855735396,0.98045065985401,0.7814070351758794,0.7151324011873145,0.3789319524346747,0.7778932778932779,0.7728746199334436,0.7728746199334435,0.7778932778932779,0.7488432902634086,11544.0,0.9362186788154896,0.9515999054454808,0.5168238993710692,0.5417535728080339,0.0207323040580443,878.0,0.2011561393737793,0.1904788017272949,2026-04-21T08:28:35.638259+00:00
NR-AR,atom_pair,LogisticRegression,smoten_enn,accuracy,"{'C': 0.001, 'l1_ratio': 1.0}",0.3789319524346747,1421,0.9831104855735396,0.98045065985401,0.7814070351758794,0.7151324011873145,0.3789319524346747,0.781751570132589,0.776877241998509,0.7766414824756998,0.7807340693848073,0.7495204720040821,11464.0,0.9362186788154896,0.9515999054454808,0.5168238993710692,0.5417535728080339,0.0207323040580443,878.0,0.1795039176940918,0.1873407363891601,2026-04-21T08:28:39.317202+00:00
NR-AR,avalon,BernoulliNB,none,accuracy,{'alpha': 0.1},0.5932867844135828,1421,0.9859254046446164,0.9840245253868491,0.8239942528735632,0.8608908764255585,0.5932867844135828,0.8448965977318212,0.8884745697765043,0.5769145325292078,0.8062285757598258,0.1665600418043685,5996.0,0.8052391799544419,0.877143036930097,0.4733385951065509,0.5649285438393201,0.0304710068016981,878.0,0.0096569061279296,0.0041947364807128,2026-04-21T14:01:12.359505+00:00
NR-AR,avalon,BernoulliNB,random_over,accuracy,{'alpha': 0.1},0.5919510994113907,1421,0.984517945109078,0.982750660937669,0.8127126767313684,0.8599925792844868,0.5919510994113907,0.7569300069300069,0.7550098452987084,0.7550098452987084,0.8041029194875349,0.7956362348711739,11544.0,0.7995444191343963,0.8736474972304296,0.4708307650160948,0.5647354190807261,0.0296480823540963,878.0,0.0764741897583007,0.0683450698852539,2026-04-21T14:01:12.933684+00:00
NR-AR,avalon,RandomForest,random_under,accuracy,"{'max_depth': 5, 'max_features': 'sqrt', 'min_samples_leaf': 20, 'n_estimators': 100}",0.5691400059779348,1421,0.9852216748768472,0.982349530778821,0.7981220022054296,0.8153511170129667,0.5691400059779348,0.8526785714285714,0.8460571474717022,0.8209181819405376,0.901058274872449,0.8748172635442064,672.0,0.9225512528473804,0.944929379256798,0.5323934837092732,0.6627269215913479,0.1547470835539193,878.0,0.2053208351135254,0.1650831699371338,2026-04-21T16:06:38.498129+00:00
